регион,уровень,год,объем_млн_кв_м
Новгородская область,регион,2018,0.3
Псковская область,регион,2018,0.2
Город Санкт-Петербург,регион,2018,4.0
Южный федеральный округ,федеральный_округ,2018,9.1
Республика Адыгея (Адыгея),регион,2018,0.2
Республика Калмыкия,регион,2018,0.1
Республика Крым,регион,2018,0.8
Краснодарский край,регион,2018,4.4
Астраханская область,регион,2018,0.3
Волгоградская область,регион,2018,0.6
Ростовская область,регион,2018,2.3
Город Севастополь,регион,2018,0.3
Северо-Кавказский федеральный округ,федеральный_округ,2018,3.6
Республика Дагестан,регион,2018,1.0
Республика Ингушетия,регион,2018,0.2
Кабардино-Балкарская Республика,регион,2018,0.4
Карачаево-Черкесская Республика,регион,2018,0.2
Республика Северная Осетия-Алания,регион,2018,0.2
Чеченская Республика,регион,2018,0.6
Ставропольский край,регион,2018,0.9
Приволжский федеральный округ,федеральный_округ,2018,15.2
Республика Башкортостан,регион,2018,2.3
Республика Марий Эл,регион,2018,0.3
Республика Мордовия,регион,2018,0.3
Республика Татарстан (Татарстан),регион,2018,2.4
Удмуртская Республика,регион,2018,0.7
Чувашская Республика - Чувашия,регион,2018,0.6
Пермский край,регион,2018,1.1
Кировская область,регион,2018,0.6
Нижегородская область,регион,2018,1.4
Оренбургская область,регион,2018,0.9
Пензенская область,регион,2018,0.7
Самарская область,регион,2018,1.8
Саратовская область,регион,2018,1.2
Ульяновская область,регион,2018,1.0
Уральский федеральный округ,федеральный_округ,2018,6.0
Курганская область,регион,2018,0.2
Свердловская область,регион,2018,2.1
Тюменская область,регион,2018,2.1
Ханты-Мансийский автономный округ - Югра,регион,2018,0.6
Ямало-Ненецкий автономный округ,регион,2018,0.2
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2018,1.3
Челябинская область,регион,2018,1.5
Сибирский федеральный округ,федеральный_округ,2018,6.7
Республика Алтай,регион,2018,0.1
Республика Тыва,регион,2018,0.1
Республика Хакасия,регион,2018,0.2
Алтайский край,регион,2018,0.8
Красноярский край,регион,2018,1.1
Иркутская область,регион,2018,1.0
Кемеровская область,регион,2018,0.6
Новосибирская область,регион,2018,1.7
Омская область,регион,2018,0.5
Томская область,регион,2018,0.4
Дальневосточный федеральный округ,федеральный_округ,2018,2.3
Республика Бурятия,регион,2018,0.2
Республика Саха (Якутия),регион,2018,0.5
Забайкальский край,регион,2018,0.2
Камчатский край,регион,2018,0.0
Приморский край,регион,2018,0.5
Хабаровский край,регион,2018,0.3
Амурская область,регион,2018,0.2
Магаданская область,регион,2018,0.0
Сахалинская область,регион,2018,0.3
Еврейская автономная область,регион,2018,0.0
Чукотский автономный округ,регион,2018,0.0
Российская Федерация,страна,2019,82.0
Центральный федеральный округ,федеральный_округ,2019,25.8
Белгородская область,регион,2019,1.3
Брянская область,регион,2019,0.4
Владимирская область,регион,2019,0.7
Воронежская область,регион,2019,1.9
Ивановская область,регион,2019,0.3
Калужская область,регион,2019,0.8
Костромская область,регион,2019,0.2
Курская область,регион,2019,0.6
Липецкая область,регион,2019,1.3
Московская область,регион,2019,8.6
Орловская область,регион,2019,0.3
Рязанская область,регион,2019,0.8
Смоленская область,регион,2019,0.4
Тамбовская область,регион,2019,0.9
Тверская область,регион,2019,0.6
Тульская область,регион,2019,0.7
Ярославская область,регион,2019,0.8
Город Москва,регион,2019,5.2
Северо-Западный федеральный округ,федеральный_округ,2019,9.4
Республика Карелия,регион,2019,0.3
Республика Коми,регион,2019,0.2
Архангельская область,регион,2019,0.3
Ненецкий автономный округ,регион,2019,0.02
Архангельская область (кроме Ненецкого автономного округа),регион,2019,0.3
Вологодская область,регион,2019,0.6
Калининградская область,регион,2019,1.0
Ленинградская область,регион,2019,2.9
Мурманская область,регион,2019,0.0
Новгородская область,регион,2019,0.3
Псковская область,регион,2019,0.3
Город Санкт-Петербург,регион,2019,3.5
Южный федеральный округ,федеральный_округ,2019,9.9
Республика Адыгея (Адыгея),регион,2019,0.3
Республика Калмыкия,регион,2019,0.1
Республика Крым,регион,2019,0.8
Краснодарский край,регион,2019,4.5
Астраханская область,регион,2019,0.3
Волгоградская область,регион,2019,0.7
Ростовская область,регион,2019,2.6
Город Севастополь,регион,2019,0.6
Северо-Кавказский федеральный округ,федеральный_округ,2019,4.0
Республика Дагестан,регион,2019,1.0
Республика Ингушетия,регион,2019,0.3
Кабардино-Балкарская Республика,регион,2019,0.5
Карачаево-Черкесская Республика,регион,2019,0.2
