регион,уровень,год,количество_квартир
Уральский федеральный округ,федеральный_округ,2002,36817
Курганская область,регион,2002,1155
Свердловская область,регион,2002,8160
Тюменская область,регион,2002,19014
Ханты-Мансийский автономный округ - Югра,регион,2002,10653
Ямало-Ненецкий автономный округ,регион,2002,2740
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2002,5621
Челябинская область,регион,2002,8488
Сибирский федеральный округ,федеральный_округ,2002,32246
Республика Алтай,регион,2002,393
Республика Тыва,регион,2002,518
Республика Хакасия,регион,2002,981
Алтайский край,регион,2002,4030
Красноярский край,регион,2002,6622
Иркутская область,регион,2002,2914
Кемеровская область,регион,2002,6142
Новосибирская область,регион,2002,4873
Омская область,регион,2002,2837
Томская область,регион,2002,2936
Дальневосточный федеральный округ,федеральный_округ,2002,13453
Республика Бурятия,регион,2002,2290
Республика Саха (Якутия),регион,2002,3811
Забайкальский край,регион,2002,1020
Камчатский край,регион,2002,156
Приморский край,регион,2002,1994
Хабаровский край,регион,2002,1748
Амурская область,регион,2002,1403
Магаданская область,регион,2002,37
Сахалинская область,регион,2002,530
Еврейская автономная область,регион,2002,259
Чукотский автономный округ,регион,2002,205
Российская Федерация,страна,2003,426871
Центральный федеральный округ,федеральный_округ,2003,159008
Белгородская область,регион,2003,8329
Брянская область,регион,2003,2498
Владимирская область,регион,2003,3459
Воронежская область,регион,2003,9239
Ивановская область,регион,2003,1208
Калужская область,регион,2003,2371
Костромская область,регион,2003,1209
Курская область,регион,2003,3467
Липецкая область,регион,2003,3883
Московская область,регион,2003,39053
Орловская область,регион,2003,2864
Рязанская область,регион,2003,2973
Смоленская область,регион,2003,2989
Тамбовская область,регион,2003,2738
Тверская область,регион,2003,3230
Тульская область,регион,2003,2561
Ярославская область,регион,2003,2902
Город Москва,регион,2003,64036
Северо-Западный федеральный округ,федеральный_округ,2003,41361
Республика Карелия,регион,2003,997
Республика Коми,регион,2003,2283
Архангельская область,регион,2003,1173
Ненецкий автономный округ,регион,2003,132
Вологодская область,регион,2003,3277
Калининградская область,регион,2003,2089
Ленинградская область,регион,2003,4673
Мурманская область,регион,2003,202
Новгородская область,регион,2003,1641
Псковская область,регион,2003,1690
Город Санкт-Петербург,регион,2003,23335
Южный федеральный округ,федеральный_округ,2003,33361
Республика Адыгея (Адыгея),регион,2003,655
Республика Калмыкия,регион,2003,477
Краснодарский край,регион,2003,14106
Астраханская область,регион,2003,3499
Волгоградская область,регион,2003,3658
Ростовская область,регион,2003,10966
Северо-Кавказский федеральный округ,федеральный_округ,2003,15462
Республика Дагестан,регион,2003,4893
Республика Ингушетия,регион,2003,240
Кабардино-Балкарская Республика,регион,2003,1985
Карачаево-Черкесская Республика,регион,2003,564
Республика Северная Осетия-Алания,регион,2003,1338
Чеченская Республика,регион,2003,0
Ставропольский край,регион,2003,6442
Приволжский федеральный округ,федеральный_округ,2003,87826
Республика Башкортостан,регион,2003,17485
Республика Марий Эл,регион,2003,1668
Республика Мордовия,регион,2003,1776
Республика Татарстан (Татарстан),регион,2003,17682
Удмуртская Республика,регион,2003,3933
Чувашская Республика - Чувашия,регион,2003,5968
Пермский край,регион,2003,5468
Кировская область,регион,2003,2332
Нижегородская область,регион,2003,6851
Оренбургская область,регион,2003,5132
Пензенская область,регион,2003,2847
Самарская область,регион,2003,9407
Саратовская область,регион,2003,5078
Ульяновская область,регион,2003,2198
Уральский федеральный округ,федеральный_округ,2003,35581
Курганская область,регион,2003,1337
Свердловская область,регион,2003,8713
Тюменская область,регион,2003,16239
Ханты-Мансийский автономный округ - Югра,регион,2003,8617
Ямало-Ненецкий автономный округ,регион,2003,1871
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2003,5841
Челябинская область,регион,2003,9293
Сибирский федеральный округ,федеральный_округ,2003,37763
Республика Алтай,регион,2003,325
Республика Тыва,регион,2003,301
Республика Хакасия,регион,2003,911
Алтайский край,регион,2003,4648
Красноярский край,регион,2003,7406
Иркутская область,регион,2003,2583
Кемеровская область,регион,2003,7071
Новосибирская область,регион,2003,7223
Омская область,регион,2003,3732
Томская область,регион,2003,3563
Дальневосточный федеральный округ,федеральный_округ,2003,15017
Республика Бурятия,регион,2003,2296
Республика Саха (Якутия),регион,2003,3756
Забайкальский край,регион,2003,1532
Камчатский край,регион,2003,182
Приморский край,регион,2003,2524
Хабаровский край,регион,2003,2139
Амурская область,регион,2003,1544
Магаданская область,регион,2003,125
Сахалинская область,регион,2003,402
Еврейская автономная область,регион,2003,188
Чукотский автономный округ,регион,2003,329
Российская Федерация,страна,2004,477449
Центральный федеральный округ,федеральный_округ,2004,179155
Белгородская область,регион,2004,10062
Брянская область,регион,2004,2586
Владимирская область,регион,2004,3727
Воронежская область,регион,2004,8179
Ивановская область,регион,2004,808
Калужская область,регион,2004,2410
Костромская область,регион,2004,800
Курская область,регион,2004,3429
Липецкая область,регион,2004,4893
Московская область,регион,2004,57831
Орловская область,регион,2004,3086
Рязанская область,регион,2004,3103
Смоленская область,регион,2004,3448
Тамбовская область,регион,2004,3351
Тверская область,регион,2004,3646
Тульская область,регион,2004,2626
Ярославская область,регион,2004,2640
Город Москва,регион,2004,62529
Северо-Западный федеральный округ,федеральный_округ,2004,48428
Республика Карелия,регион,2004,1172
Республика Коми,регион,2004,2094
Архангельская область,регион,2004,1450
Ненецкий автономный округ,регион,2004,109
Вологодская область,регион,2004,4265
Калининградская область,регион,2004,2595
Ленинградская область,регион,2004,5148
Мурманская область,регион,2004,137
Новгородская область,регион,2004,2139
Псковская область,регион,2004,1775
Город Санкт-Петербург,регион,2004,27654
Южный федеральный округ,федеральный_округ,2004,36861
Республика Адыгея (Адыгея),регион,2004,310
Республика Калмыкия,регион,2004,500
Краснодарский край,регион,2004,15612
Астраханская область,регион,2004,3178
Волгоградская область,регион,2004,5050
Ростовская область,регион,2004,12211
Северо-Кавказский федеральный округ,федеральный_округ,2004,15378
Республика Дагестан,регион,2004,5522
Республика Ингушетия,регион,2004,170
Кабардино-Балкарская Республика,регион,2004,1751
Карачаево-Черкесская Республика,регион,2004,466
Республика Северная Осетия-Алания,регион,2004,1342
Чеченская Республика,регион,2004,0
Ставропольский край,регион,2004,6127
Приволжский федеральный округ,федеральный_округ,2004,95821
Республика Башкортостан,регион,2004,18418
Республика Марий Эл,регион,2004,1917
Республика Мордовия,регион,2004,1846
Республика Татарстан (Татарстан),регион,2004,21466
Удмуртская Республика,регион,2004,4118
Чувашская Республика - Чувашия,регион,2004,6039
Пермский край,регион,2004,5615
Кировская область,регион,2004,3372
Нижегородская область,регион,2004,8105
Оренбургская область,регион,2004,5126
